MovDataID,Class,releaseDate,cohort
Baawa,orphan,2020-05-28,3
Lingwezi,orphan,2019-05-02,1
Nadosoit,orphan,2020-05-28,3
Nchurai,orphan,2020-05-28,3
Pokot,orphan,2019-11-16,2
Shaba,orphan,2019-11-16,2
Sosian,orphan,2019-05-02,1
Warges,orphan,2019-05-02,1
Chapulo,wild,2019-05-30,4
Kaingus,wild,2019-05-30,4
Kalama,wild,2019-05-30,4
Lpupo,wild,2019-05-30,4
Serteta,wild,2019-05-30,4
